127.0.0.1, 2014-06-24 15:01:44, GET, /, HTTP/1.1, 303, 0.000724
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.922551
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001127
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000349
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000204
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000791
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000341
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002302
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001319
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002009
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000964
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001631
127.0.0.1, 2014-06-24 15:01:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000278
127.0.0.1, 2014-06-24 15:01:48, GET, /admin/default/index, HTTP/1.1, 200, 0.061511
127.0.0.1, 2014-06-24 15:01:51, POST, /admin/default/index, HTTP/1.1, 303, 0.029960
127.0.0.1, 2014-06-24 15:01:51, GET, /admin/default/site, HTTP/1.1, 200, 0.043280
127.0.0.1, 2014-06-24 15:01:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.151025
127.0.0.1, 2014-06-24 15:01:56, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.091009
127.0.0.1, 2014-06-24 15:01:56, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2014-06-24 15:01:56, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000352
127.0.0.1, 2014-06-24 15:01:56, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000317
127.0.0.1, 2014-06-24 15:02:02, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 0.913180
127.0.0.1, 2014-06-24 15:02:02, GET, /basic_rest/static/js/calendar.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-06-24 15:02:02, GET, /basic_rest/static/js/jquery.js, HTTP/1.1, 200, 0.000549
